昵称,星数,点赞数,评价,评价时间,
行为不端的安东,allstar50 rating,36,电影啊，造梦艺术，一部电影能拍成这样，至少在娱乐功能上已经登峰造极了，两个半小时黑漆漆的电影院里，我一直在梦里，跟我生活的现实世界完全无关。诺兰，我继续做你的粉丝。,2010/9/8 11:14,
Nikitaa,allstar50 rating,43,国外电影结构剧情技术意识都如此了，让国产电影情何以堪。。。,2010/9/2 8:04,
易老邪,allstar20 rating,33,"很是失望。本片创意构思和特效场面都还远不够震撼，叙事上有点弄巧成拙，故事发展全部依赖大段大段的对白，不痛不痒矫揉造作的情感戏形同鸡肋，再加上迪卡极为拙劣的演技，使此片不可避免地成为一部平庸之作。
剧情谈不上有多复杂艰深，想象力也远不及《黑客帝国》《移魂都市》等佳作",2010/10/31 13:20,
Q。,allstar50 rating,38,还是习惯叫它《奠基》。赞美的话太多人说了，不再重复。克里斯托弗·诺兰再一次证明了自己驾驭非线性叙事电影的超凡能力。虽不敢说自己百分百看懂，但是绝对没有大多数人传说的那么难懂，不过肯定是一部会需要你动脑子的影片。至于结局……仁者见仁智者见智，一千个观影者就有一千个哈姆雷特★★★★★,2010/9/9 0:09,
蓝下老婆,allstar40 rating,30,这部片试图从头看了好几遍，但都没有看到最后，我智商不够啊，烧脑,2017/2/16 17:42,
[已注销],allstar40 rating,33,喜欢可以潜入梦境的设定，剧情蛮不错的，看完只想问你所在的世界是梦还是现实？,2018/2/4 22:27,
丑小鸭cxy,allstar30 rating,31,梦中梦，分不清现实与梦境，如果心有执念那么梦里梦外更难分辨。,2018/2/7 0:20,
苏幼,allstar40 rating,26,这部电影真心不错。反物理学的探讨、旋转的动作场面、具有冲击力的背影音乐等，在影片的后半段，这些因素合力将你催眠，将你带入诺兰设定的电影梦境之中。,2017/2/20 8:42,
?吃货有福,allstar50 rating,25,剧情很新颖，原来梦可以自己制造和控制，最牛逼的是还能进入梦中梦第六层梦境，但是梦中醒不来就成了永远醒不过来的植物人了，原来做梦也有危险。。。。,2018/3/11 14:11,
Spoiler,allstar40 rating,22,喜欢梦境里的六层世界,2017/7/14 21:28,
荔枝超人,allstar50 rating,26,"You mustn't be afraid to dream a little bigger, darling.",2010/8/31 14:01,
石头星,allstar50 rating,25,烧脑片的内涵不是故弄玄虚让人云里雾里，要烧脑要符合逻辑要剪辑清晰要有故事完整性要有适当人性探讨，诺兰这部影片是典范，加上小李子简直完美。,2017/2/19 11:46,
hotrex,allstar50 rating,33,"又是一部 一遍看不懂的大作
简短评价就是周庄梦蝶
今天去看了早场的第一场，发现还得再去看一遍。
看过的朋友说说看，结局是开放式的吗？",2010/7/15 15:37,
美好时光只为你,allstar40 rating,20,虽然感觉挺烧脑的，但不可否认，也很精彩啊，很不错。,2017/5/28 20:32,
yum,allstar30 rating,24,立片基础是sci-fi梦的控制，所以如果要是认真的逻辑探讨你就输了。高射炮打蚊子的剧情设计，故弄玄虚的各条线，强大的CG，神来一笔的配乐，众多让人一见倾心的大配小配。最后40分钟拖沓无比，全片需要全神贯注。btw男主你还要继续减肥，卡在小巷内一段我差点不厚道的笑噎过去,2010/7/19 23:39,
齐木楠雄,allstar50 rating,17,最喜欢的电影，满分,2015/7/23 21:22,
