无趣,3 星,延边棒子出现后剧情就因为不讲究逻辑细节猛然地崩坏了；大哥和卧底强行的cp也让人不适。当然血腥度还维持在一贯的水准，演技也仍然一贯的强，结尾也保持了韩片善于思考的好习惯。三星半。
birds,4 星,可媲美无间道
万古如长夜,5 星,比无间道的水平还是差了很多，阵容、编剧、情感都不如，但不失为近期好片。看到崔岷植的名字，眼睛就不由一亮，从《醉画仙》到《大虎》，一直很喜欢，不过看惯了古装的他，对现代装一时不适应。他与李政宰最后一次见面说的话，就像弹簧拉到极限而崩断，势必造成对方逆反，既然回警无望，就彻底清除根迹
bluerain,5 星,韩国版的《黑社会》+《无间道》
吉米糕,4 星,黄政民
秋末,3 星,帮会选大哥 + 卧底情节，普普通通，没有《黑社会》那么文艺，没有《变节》那么二逼
Wesker,1 星,不错
魏无忌,5 星,很棒，更香港。中国黑客那段儿稍微有点儿儿戏了。
shoegazerbaby,3 星,最后黑化得有点超现实了，演员们很棒，不靠脸蛋，真正靠眼睛演戏，感觉摄影师把这些戏精大叔的每一个毛孔都拍进去了，表情自然要拿捏得非常精准才行，以及黑道基情果然最带劲了，电影里没有拍全的回忆杀可以脑补好多同类型的漫画和小说23333
春暖花开,3 星,与黄海相比较，更喜欢黄海
Sisse,4 星,紧凑 无间道老套路 但是有心意有新意
良孬孬,4 星,狗急了还跳墙呢，人急了砍人也算正常了吧……
沧海一小生,4 星,回不去了，所以很现实！
你大立,4 星,结尾仓促了些，仓库那段戏想鼓掌。但还是好好看，和无间道一样好看！
冷兵器的残泽,4 星,《无间道》与《黑社会》揉杂，创造出即不同与日本黑帮电影，又有别于香港黑帮片的韩片风格。几位男演员的演出各有特色，都非常出彩，女人在本片退居次席，这种构造故事的思路，明显也与无、黑二片想似。2013韩片最佳之一。
Frankel,5 星,http://movie.douban.com/review/6681113/
影毒肥佬,3 星,"崔岷植 黄政民 李政宰 買碟快進看, 對不起, 所以才評分低, 沒法, 戲院沒上..."
狂接舆,3 星,片子完成度不够，主要是后三分之一展开得太仓促。角色塑造上也欠火候。还是香港黑帮片的影子，有【无间道】，有【黑社会】。可看度还是不错的。三星半。
麦提爽,3 星,配角相当出彩！但极为反感主角如此的表演，导致观影乐趣下降。故事也没啥新意，文艺黑帮片。
马克西米利安,4 星,"首阳大君太帅
"
米O,5 星,陪边口口看的。本来对黑帮片一直不是那么感兴趣所以前半段没怎么看。后半段看进去那个爽啊。韩国电影真是强大。
泰坦,4 星,犹如压抑很久之后的爆发，张力十足，兄弟情谊的铺垫不太到位，要不然丁青会是一个经典的角色。
小岩井,5 星,韩国的犯罪片真是拍出感觉来了，大有香港当年之氛围啊
huyouyou,4 星,真够血腥的，终于最后官逼民反，白洗黑了。#20130806
达斯佛™,3 星,你若真心对我，我便一生相随，其实是部职场爱情片。
人生hihi,5 星,赞的~
线形单调,4 星,新的世界，早就开始了。没有路可以回头。
